id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
611,2022,33,4,17,0.010,1674980,913452
612,2022,34,4,22,0.018,1217331,760879
613,2022,35,4,20,0.018,1109232,575321
614,2022,36,4,2,0.009,216809,139055
615,2022,37,4,6,0.010,616326,333159
616,2022,38,4,13,0.010,1291380,673024
617,2022,39,4,2,0.008,258405,151865
618,2022,40,4,5,0.012,428427,270194
619,2022,41,4,5,0.015,328953,186408
620,2022,42,4,7,0.009,772041,405452
621,2022,43,4,0,0.000,228161,145236
622,2022,44,4,23,0.016,1473156,787187
623,2022,45,4,9,0.013,687063,353544
624,2022,46,4,2,0.011,175620,120797
625,2022,47,4,5,0.015,332226,189189
626,2022,48,4,0,0.000,76503,62006
627,2022,49,4,8,0.010,828151,406488
628,2022,50,4,4,0.008,496815,302441
629,2022,51,4,9,0.016,564107,300919
630,2022,52,4,1,0.006,169865,100716
631,2022,53,4,1,0.003,305437,159714
632,2022,54,4,8,0.011,732898,384639
633,2022,55,4,1,0.006,180745,100190
634,2022,56,4,8,0.010,776103,481682
635,2022,57,4,17,0.016,1050721,531542
636,2022,58,4,1,0.005,202299,141381
637,2022,59,4,33,0.013,2616909,1251657
638,2022,60,4,2,0.002,830725,382118
639,2022,61,4,5,0.018,276144,165115
640,2022,62,4,15,0.010,1460184,727951
641,2022,63,4,5,0.008,664385,397923
